交易日期,股票代码,总市值,是否交易,最后一天涨跌幅,交易天数,下月涨幅
1999-11-30,sh600000,63624000000.0,1,0.002659,15,-0.0624992929801
1999-12-31,sh600000,59647500000.0,1,0.00365,21,0.0117164610865
2000-01-31,sh600000,60346400000.0,1,0.0183,19,0.00519116949125
2000-02-29,sh600000,60659700000.0,1,0.003589,12,0.00198710750974
2000-03-31,sh600000,60780200000.0,1,-0.006304,23,-0.00872366746458
2000-04-30,sh600000,60250000000.0,1,0.010509,20,-0.0620000977935
2000-05-31,sh600000,56514500000.0,1,0.002137,17,0.0042645581761
2000-06-30,sh600000,56755500000.0,1,0.01073,22,0.0278677773696
2000-07-31,sh600000,57960500000.0,1,0.002501,21,-0.0332633811473
2000-08-31,sh600000,56032500000.0,1,-0.003856,23,-0.0709652070543
2000-09-30,sh600000,52056000000.0,1,0.004651,21,-0.01388923207
2000-10-31,sh600000,51333000000.0,1,-0.004673,17,0.0319240450025
2000-11-30,sh600000,52971800000.0,1,-0.000455,21,-0.0559602147446
2000-12-31,sh600000,50007500000.0,1,0.007771,21,0.000965167874524
2001-01-31,sh600000,50055700000.0,1,0.010706,14,-0.0442965415559
2001-02-28,sh600000,47838500000.0,1,0.003032,18,0.0569276188248
2001-03-31,sh600000,50561800000.0,1,0.003828,22,-0.0414666771973
2001-04-30,sh600000,48465100000.0,1,-0.010821,21,-0.00546954918757
2001-05-31,sh600000,48200000000.0,1,-0.00547,17,-0.00250089047258
2001-06-30,sh600000,48079500000.0,1,0.001506,21,-0.107268860537
2001-07-31,sh600000,42922100000.0,1,-0.034688,22,-0.135315747847
2001-08-31,sh600000,37114000000.0,1,0.005222,23,-0.0116885062025
2001-09-30,sh600000,36680200000.0,1,0.019424,19,0.0637320102477
2001-10-31,sh600000,39017900000.0,1,0.007467,18,0.0271776531702
2001-11-30,sh600000,40078300000.0,1,0.001807,22,-0.0565251768696
2001-12-31,sh600000,37812900000.0,1,0.019493,21,-0.0987917951997
2002-01-31,sh600000,34077400000.0,1,0.072024,20,-0.0148517508347
2002-02-28,sh600000,33571300000.0,1,-0.010653,9,0.177315590021
2002-03-31,sh600000,39524000000.0,1,-0.026706,21,0.00609850289618
2002-04-30,sh600000,39765000000.0,1,0.01601,22,-0.128484406126
2002-05-31,sh600000,34655800000.0,1,-0.007591,18,0.190541367898
2002-06-30,sh600000,41259200000.0,0,0.0,19,0.0192786056947
2002-07-31,sh600000,42054500000.0,1,-0.007395,23,0.0852684818554
2002-08-31,sh600000,45151350000.0,1,0.000801,22,-0.0496388399692
2002-09-30,sh600000,42910050000.0,1,-0.003359,19,-0.097725135797
2002-10-31,sh600000,38716650000.0,1,0.000935,18,-0.0317458309288
2002-11-30,sh600000,37487550000.0,1,0.007775,21,-0.0491812184322
2002-12-31,sh600000,35643900000.0,1,0.019648,22,0.0922671468966
2003-01-31,sh600000,40363650000.0,1,0.013766,16,-0.047529220074
2003-02-28,sh600000,38445300000.0,1,-0.018,15,0.135439848015
2003-03-31,sh600000,43652250000.0,1,0.019196,21,0.159639893622
2003-04-30,sh600000,50620950000.0,1,0.033573,20,0.036349861773
2003-05-31,sh600000,52461000000.0,1,0.000747,15,-0.121750767733
2003-06-30,sh600000,45688050000.0,1,0.002577,21,-0.0497001914555
2003-07-31,sh600000,43417350000.0,1,-0.003594,23,-0.0667259629407
2003-08-31,sh600000,40520250000.0,1,0.017699,21,-0.0792267005041
2003-09-30,sh600000,37309950000.0,1,0.005274,22,-0.0146897878548
2003-10-31,sh600000,36761850000.0,1,-0.002125,18,-0.00745397010923
2003-11-30,sh600000,36487800000.0,1,0.001074,20,0.129827400078
2003-12-31,sh600000,41224950000.0,1,0.001903,22,0.0683747998197
2004-01-31,sh600000,44043750000.0,1,-0.036815,13,-0.0355575752784
2004-02-29,sh600000,42477750000.0,1,0.008364,20,0.000920969613834
2004-03-31,sh600000,42516900000.0,1,-0.012727,22,-0.114180836596
2004-04-30,sh600000,37662300000.0,1,-0.01636,22,-0.013354055587
2004-05-31,sh600000,36722700000.0,0,0.0,15,-0.0629000173828
2004-06-30,sh600000,34412850000.0,1,-0.00453,22,0.0364057924378
2004-07-31,sh600000,35665650000.0,1,-0.008705,22,-0.0406122985014
2004-08-31,sh600000,34217100000.0,1,0.017462,22,-0.0286044537316
2004-09-30,sh600000,33238350000.0,1,-0.008178,22,-0.127208630069
2004-10-31,sh600000,29010150000.0,1,-0.013316,16,-0.0229413680669
2004-11-30,sh600000,28344600000.0,1,-0.009576,22,-0.0331484585334
2004-12-31,sh600000,27405000000.0,1,0.0,23,0.0528565115326
2005-01-31,sh600000,28853550000.0,1,-0.009409,20,0.0502028214892
2005-02-28,sh600000,30302100000.0,1,-0.028858,13,-0.105943578212
2005-03-31,sh600000,27091800000.0,1,0.025185,23,0.0144497810512
2005-04-30,sh600000,27483300000.0,1,0.021834,20,-0.0287929283162
2005-05-31,sh600000,26230500000.0,1,-0.013255,17,0.141790499717
2005-06-30,sh600000,29949750000.0,1,0.015936,21,0.0901962011429
2005-07-31,sh600000,32651100000.0,1,0.007246,21,0.0167834790196
2005-08-31,sh600000,33199200000.0,1,0.002364,23,-0.0212268333216
2005-09-30,sh600000,32494500000.0,1,0.01467,21,0.0265055310538
2005-10-31,sh600000,33355800000.0,1,0.026506,16,0.0340357671564
2005-11-30,sh600000,34491150000.0,1,0.018497,22,0.106698257648
2005-12-31,sh600000,38171250000.0,1,0.001027,22,0.155897577958
2006-01-31,sh600000,44122050000.0,1,0.031107,16,0.0816308889106
2006-02-28,sh600000,47723850000.0,0,0.0,14,-0.109106856039
2006-03-31,sh600000,42516900000.0,0,0.0,8,0.0
2006-04-30,sh600000,42516900000.0,0,0.0,0,0.209054944662
2006-05-31,sh600000,39032550000.0,1,-0.025415,13,-0.00601835472791
2006-06-30,sh600000,38797650000.0,1,0.003036,21,-0.112007140351
2006-07-31,sh600000,34452000000.0,1,-0.028698,21,0.117044583528
2006-08-31,sh600000,38484450000.0,1,0.00924,23,0.0803656652015
2006-09-30,sh600000,41577300000.0,1,0.015296,21,0.316381916584
2006-10-31,sh600000,54731700000.0,1,0.043284,17,0.222948178866
2006-11-30,sh600000,73292675790.0,1,0.073247,18,0.266190963364
2006-12-31,sh600000,92802550270.0,1,0.05652,21,0.172689345756
2007-01-31,sh600000,1.088285186e+11,1,-0.050893,20,-0.106842486045
2007-02-28,sh600000,97200981800.0,1,0.02151,15,0.197130109173
2007-03-31,sh600000,1.1636246566e+11,1,0.001124,22,0.00673666008235
2007-04-30,sh600000,1.1714634455e+11,1,-0.021462,21,0.255021249701
2007-05-31,sh600000,1.4702083985e+11,1,0.100033,17,0.0838273371515
2007-06-30,sh600000,1.5934515788e+11,1,-0.026603,21,0.104541339402
2007-07-31,sh600000,1.7528402855e+11,1,-0.018293,22,0.366459057666
2007-08-31,sh600000,2.3951854834e+11,1,0.03852,23,-0.0454532156285
2007-09-30,sh600000,2.2863134159e+11,1,0.041667,20,0.119810843851
2007-10-31,sh600000,2.5602355376e+11,1,0.018009,18,-0.117365733443
2007-11-30,sh600000,2.2597486315e+11,1,0.003481,22,0.0175355851738
2007-12-31,sh600000,2.299378064e+11,1,0.023851,20,-0.128786408731
2008-01-31,sh600000,2.0032460406e+11,1,-0.036246,22,-0.08413087682
2008-02-29,sh600000,1.8347120802e+11,1,0.030325,16,-0.159742819229
2008-03-31,sh600000,1.5416284747e+11,1,-0.011725,20,0.194756181574
2008-04-30,sh600000,1.8342765919e+11,1,0.087613,21,-0.132098839988
2008-05-31,sh600000,1.5919709187e+11,1,0.02069,20,-0.217637799202
2008-06-30,sh600000,1.2454964513e+11,1,-0.043062,20,0.0322723299316
2008-07-31,sh600000,1.2856920186e+11,1,-0.031143,23,-0.032582816121
2008-08-31,sh600000,1.2437980471e+11,1,0.030488,21,-0.289032209303
2008-09-30,sh600000,88430248040.0,1,-0.003827,19,-0.248401098847
2008-10-31,sh600000,66464219720.0,1,-0.035333,20,0.0212937796248
2008-11-30,sh600000,67879556600.0,1,-0.071981,19,0.105089456032
2008-12-31,sh600000,75012854450.0,1,-0.004508,23,0.25962351492
2009-01-31,sh600000,94487889880.0,1,0.012743,15,0.0653086623259
2009-02-28,sh600000,1.0065875866e+11,1,0.03312,20,0.232847125573
2009-03-31,sh600000,1.2409673733e+11,1,-0.003636,22,0.0570269188902
2009-04-30,sh600000,1.3117342171e+11,1,0.00477,21,0.107036303088
