data,no1,no2,no3,no4,no5
2014-01-01 00:00:00, 0.269707,-0.121488,-1.290025,-0.801907,-0.699380
2014-01-01 01:00:00, -0.580843,-0.027225,2.681502,-0.478926,-0.284173
2014-01-01 02:00:00, -0.218591,-0.366461,-0.059454,0.594145,0.684063
2014-01-01 03:00:00, -1.463472,0.412660,0.279255,0.022073,-0.088133
2014-01-01 04:00:00, 0.264154,-0.332780,1.324591,-0.952832,1.788224
2014-01-01 05:00:00, -0.143963,1.377069,0.478909,-0.312966,-1.494687
2014-01-01 06:00:00, 0.314564,-0.151806,-0.352198,0.537165,-0.493301
2014-01-01 07:00:00, 0.865761,1.264293,0.392473,0.109051,-0.289763
2014-01-01 08:00:00, -0.451870,0.073803,-0.413691,-0.879835,0.382084
2014-01-01 09:00:00, 1.998381,-1.782646,0.094505,0.444474,0.807991
2014-01-01 10:00:00, 0.131929,-0.568728,-0.810409,0.717052,-1.653848
2014-01-01 11:00:00, 1.997429,1.915285,-0.176378,0.604035,-0.649190
2014-01-01 12:00:00, 1.063599,-0.648594,4.194168,-1.292802,1.510721
2014-01-01 13:00:00, -1.018996,0.573930,1.544443,-0.839303,1.315029
2014-01-01 14:00:00, -0.408016,-0.109582,-1.596674,-0.371661,-0.896689
2014-01-01 15:00:00, -1.464767,1.216657,-0.097988,-0.341646,-0.132189
2014-01-01 16:00:00, 1.565769,-0.421229,0.031203,-0.334738,-0.558137
2014-01-01 17:00:00, -0.110165,1.459276,-1.109987,0.002242,-2.163600
2014-01-01 18:00:00, -0.143040,-0.528394,-0.959859,-0.495429,0.475136
2014-01-01 19:00:00, -0.063904,1.075610,1.414274,-2.040345,-0.827101
2014-01-01 20:00:00, -0.390802,-1.907739,0.764136,0.667648,-0.239732
2014-01-01 21:00:00, 1.542458,-0.336208,-1.487231,0.808633,1.485426
2014-01-01 22:00:00, 1.491946,0.457756,-1.624265,-0.987347,1.864983
2014-01-01 23:00:00, -0.006860,1.463097,-2.037512,0.163196,-0.700986
2014-01-02 00:00:00, 0.215507,1.241180,-1.500988,0.847231,0.251699
2014-01-02 01:00:00, -1.648187,0.427435,0.503597,-0.825762,0.516423
2014-01-02 02:00:00, -0.281714,1.694073,0.060891,-1.126979,0.721284
2014-01-02 03:00:00, -0.235020,0.885912,-0.849640,1.076621,-0.664239
2014-01-02 04:00:00, -0.606535,-1.120095,-0.512171,1.224126,0.371202
2014-01-02 05:00:00, 1.199138,-2.312706,2.105025,-1.023679,0.682491
2014-01-02 06:00:00, 0.765491,-0.146545,0.223136,1.355762,-0.205695
2014-01-02 07:00:00, -0.088959,-0.131105,0.824203,-0.358029,-0.363763
2014-01-02 08:00:00, -0.785828,1.103860,-0.956467,-0.463584,0.508458
2014-01-02 09:00:00, -0.956787,0.331292,1.465292,-0.284418,-1.500105
2014-01-02 10:00:00, -0.518550,-0.054989,-0.264669,1.404552,0.672522
2014-01-02 11:00:00, 0.538670,-1.014713,0.808684,-0.921714,-1.150052
2014-01-02 12:00:00, 0.385804,0.693605,0.379504,-0.049100,-0.950626
2014-01-02 13:00:00, -0.446382,0.984702,-0.827143,0.649807,0.470363
2014-01-02 14:00:00, 0.126904,-0.761235,-0.373389,-0.124426,0.544618
2014-01-02 15:00:00, 1.104617,-1.075396,-0.496908,0.162745,-0.028511
2014-01-02 16:00:00, -0.759051,-1.137823,0.680188,-1.216947,-0.137550
2014-01-02 17:00:00, -1.592952,-0.780289,-0.724096,-0.046519,-2.231423
2014-01-02 18:00:00, -0.580528,-0.305709,-0.305462,-1.029430,-0.496553
2014-01-02 19:00:00, 1.104967,-0.636853,-1.651729,-1.030601,0.435758
2014-01-02 20:00:00, 1.590013,0.815806,-0.642151,-0.037065,-0.484789
2014-01-02 21:00:00, 1.457888,0.276677,-0.619532,0.631364,-0.178720
2014-01-02 22:00:00, -1.378466,0.104932,0.445657,-2.241126,1.046031
